日付,教授,内容

9/27,
10/4,いない,
10/11,
10/18,
10/25,,MSPj
11/1,,北山祭用意
11/8,いない,
11/15,
11/22,,休み
11/29,
12/6,いない,
12/13,
12/20,,卒研発表
1/10,いない,
1/17,
1/24,
